frame,r_knee_angle,r_hip_angle,r_ankle_angle,l_knee_angle,l_hip_angle,l_ankle_angle,r_thigh_length,r_calf_length,l_thigh_length,l_calf_length,hip_width,r_knee_flexion,l_knee_flexion,r_quad_width,r_calf_width,l_quad_width,l_calf_width
41,146.30078576655245,164.68919967247345,172.1224067899362,144.65141850413676,143.71018657193898,162.97136874201766,0.35647956735013464,0.4118777793176885,0.35011882846546566,0.37938647947952403,0.21942114352406947,106.43225451437289,116.99094800138108,0.10910025787442118,0.16139579806281742,0.12645118585070456,0.09596687804007459
42,146.57534826855866,164.08557501983006,173.32143686377526,143.41738097357407,144.25870987988563,162.64406805443514,0.3555136590987825,0.41134788244740894,0.3455127808824427,0.37257894942834463,0.21848480958357247,106.17431606525847,118.1011150470089,0.1109637661833278,0.1611637381081862,0.12908559657128774,0.09513573352085586
43,145.53994196538932,164.06545411594945,175.17212436505645,144.38935685754836,146.02154284805954,163.9656527738585,0.3548491423639074,0.4107104814366841,0.34545270427823505,0.36680185598194387,0.21647588877169663,106.59317200299711,117.69119174295922,0.11302318055284673,0.16287068206408056,0.13488060121788017,0.09548669907054518
44,145.35969478761123,164.8445724585958,175.01097367174643,144.85189043204224,146.7502184353024,163.92216358176762,0.3550404074618311,0.41128482941920486,0.3458682299115992,0.3689024580286387,0.21526993218092716,106.72286947211039,117.5216540878707,0.11413313330255809,0.16062495022764645,0.1360880627321999,0.0956789732872712
45,145.05193391368542,163.7227677693759,174.74044031371653,142.0683875499587,145.98587189192773,163.539589766815,0.35410938079091603,0.41215628431403095,0.3522473038365109,0.3685491170465613,0.2159358217639018,106.68673137914313,116.80572666225027,0.11190161346916086,0.16044031023096791,0.1348733815376555,0.09628720392006952
46,144.78306355302317,162.66586826169936,174.4616026584504,141.65795091518837,145.00074418029618,163.3019832163015,0.3538356922336453,0.4140841208816019,0.359009518505334,0.37610863667709415,0.21621223682896343,106.2417190550118,113.14148428071633,0.11165131461661758,0.1600783129627802,0.13388756732915277,0.09650969790308461
47,144.85553949035673,163.8765026590538,173.70005967434142,140.2996988729338,144.64250008854032,162.87702640279738,0.3541890625951548,0.416822808388203,0.3641122924752829,0.3775507730753257,0.21654887068258724,105.56368753930644,112.28632869440074,0.11034800021490146,0.15784616278837516,0.13456266467697972,0.09661250923201153
48,144.78962491485163,162.65116185572427,172.90542464125429,138.43186895242988,143.44140417480548,162.77583763696853,0.35334032624124356,0.4165541434249307,0.3688708947759947,0.37678523240070516,0.21653360582637282,105.72638910866678,112.02202269770183,0.11052861500698348,0.15702491832304322,0.1337906310502716,0.0966342192892295
49,144.80358140697183,161.0852383700596,172.69920638242152,137.8683805297534,143.59242846587267,162.9376819021465,0.35250695061538745,0.4145421865719139,0.369980714017248,0.3736039916988331,0.2182670802882195,106.06488488249047,113.36057913482712,0.11171711392770431,0.15492867867065538,0.13279689216368876,0.09630698730434752
50,144.42199331306202,160.21884143205185,172.0295147906217,136.96233758322924,143.9781428321068,163.21183498863505,0.3521850548816238,0.4122524449435027,0.36407059993881447,0.37871923786394,0.2214129454634948,106.75128348323832,112.84305844643433,0.11228876292129453,0.15270687131565708,0.1318975136571541,0.09623319695566264
51,147.00963855346865,158.68639796433573,171.70757345886017,136.9339591655533,144.03362055617876,162.92925496947169,0.35530333749510407,0.40474959617524836,0.35996882228182575,0.3788660920815921,0.22421452118548527,106.95094619283597,114.4304871189223,0.11345403413177252,0.1510252664363925,0.13054715961112792,0.09629116134299506
52,147.3170484033456,159.24662223808403,171.14118656509697,135.5351622652787,143.38059311863026,163.21974602914202,0.3557777857433334,0.40303718554687185,0.3523049979888484,0.3816339188455165,0.22679373078016862,107.34748495256049,116.44016731869787,0.1123402458412589,0.15000494028268013,0.1297901195936631,0.09621099161728609
53,147.7775232377826,159.46270221263492,170.03463727459084,134.5904609105094,143.8266976239803,163.80042847521722,0.35775707195062967,0.403123778927582,0.3438498357968703,0.3842875832410704,0.22889299953728523,107.35740725905163,119.68791957685444,0.1114796513114438,0.14799641531793653,0.12825751504498875,0.0960151907646946
54,150.2369218469261,158.65844045990468,168.34715592383697,134.52390916652706,144.6020682702371,164.40550022963356,0.3639499782306751,0.400726206780627,0.3388954091304841,0.3866413482821778,0.23009205452617945,107.50692813579138,120.82265347561183,0.11109843175276582,0.1451983527045425,0.12596332438678642,0.09570837386496833
55,152.42133363554655,156.09042852078971,167.92767446068825,132.71685543396248,145.42706422197756,164.21551263774776,0.37417662866894524,0.38945541877751455,0.33663775166016574,0.3901582162877932,0.23270446620176732,108.56669597874564,120.6430796392132,0.11298962147809055,0.1427766006874868,0.12429833138913617,0.09536198773144122
